shortcode,post_url,username,text,created_at,text_clean,text_norm,tokens,tokens_clean,tokens_stem,final_text,label_emosi,text_length
DEpPUlpS-lT,https://www.instagram.com/p/DEpPUlpS-lT/,bryannb._,undang OM.SERA dongg.,11/01/2025,undang omsera dongg,undang omsera dongg,"['undang', 'omsera', 'dongg']","['undang', 'omsera', 'dongg']","['undang', 'omsera', 'dongg']",undang omsera dongg,netral,3
DEpPUlpS-lT,https://www.instagram.com/p/DEpPUlpS-lT/,officialdana189,Undang LALA WIDY donk min😍,11/01/2025,undang lala widy donk min,undang lala widy dong admin,"['undang', 'lala', 'widy', 'dong', 'admin']","['undang', 'lala', 'widy', 'admin']","['undang', 'lala', 'widy', 'admin']",undang lala widy admin,netral,4
DEpPUlpS-lT,https://www.instagram.com/p/DEpPUlpS-lT/,ardi.ladyvers,Undang om mahesa dong min,11/01/2025,undang om mahesa dong min,undang om mahesa dong admin,"['undang', 'om', 'mahesa', 'dong', 'admin']","['undang', 'om', 'mahesa', 'admin']","['undang', 'om', 'mahesa', 'admin']",undang om mahesa admin,netral,4
DEmWS4qvCo-,https://www.instagram.com/p/DEmWS4qvCo-/,ryxlfi_,seru bangett 🔥🙌,11/01/2025,seru bangett,seru bangett,"['seru', 'bangett']","['seru', 'bangett']","['seru', 'bangett']",seru bangett,joy,2
DEsAgQ2P7as,https://www.instagram.com/p/DEsAgQ2P7as/,bapaksarwoto888,"👍👍
Terima kasih infonya Bun....",11/01/2025,terima kasih infonya bun,terima kasih infonya bun,"['terima', 'kasih', 'infonya', 'bun']","['terima', 'kasih', 'infonya', 'bun']","['terima', 'kasih', 'info', 'bun']",terima kasih info bun,joy,4
DEsAgQ2P7as,https://www.instagram.com/p/DEsAgQ2P7as/,didin7171,Bosnya makin cantik🔥😂,12/01/2025,bosnya makin cantik,bosnya makin cantik,"['bosnya', 'makin', 'cantik']","['bosnya', 'cantik']","['bos', 'cantik']",bos cantik,joy,2
DE9loUOvBVR,https://www.instagram.com/p/DE9loUOvBVR/,nirwana_juda,🔥🔥🔥❤️ mantaaap,20/01/2025,mantaaap,mantaaap,['mantaaap'],['mantaaap'],['mantaaap'],mantaaap,joy,1
DE9NQmmPlI3,https://www.instagram.com/p/DE9NQmmPlI3/,putraangkasa2610,New idaman stasiun dangdut di goyang tambah yahut,20/01/2025,new idaman stasiun dangdut di goyang tambah yahut,new idaman stasiun dangdut di goyang tambah yahut,"['new', 'idaman', 'stasiun', 'dangdut', 'di', 'goyang', 'tambah', 'yahut']","['new', 'idaman', 'stasiun', 'dangdut', 'goyang', 'yahut']","['new', 'idam', 'stasiun', 'dangdut', 'goyang', 'yahut']",new idam stasiun dangdut goyang yahut,joy,6
DE9NQmmPlI3,https://www.instagram.com/p/DE9NQmmPlI3/,marjiasih7,@putraangkasa2610  pokokny 👍👍👍👍🔥🔥🔥❤️❤️,20/01/2025,pokokny,pokokny,['pokokny'],['pokokny'],['pokokny'],pokokny,joy,1
DE9loUOvBVR,https://www.instagram.com/p/DE9loUOvBVR/,adam.prabu29,Josss tenan @pul_lung,23/01/2025,josss tenan,josss tenan,"['josss', 'tenan']","['josss', 'tenan']","['josss', 'tenan']",josss tenan,joy,2
DFNEagntCLV,https://www.instagram.com/p/DFNEagntCLV/,sannnd.59,Aku wes nyobak ancen uwakeh porsine 😭,24/01/2025,aku wes nyobak ancen uwakeh porsine,saya sudah nyobak ancen uwakeh porsine,"['saya', 'sudah', 'nyobak', 'ancen', 'uwakeh', 'porsine']","['nyobak', 'ancen', 'uwakeh', 'porsine']","['nyobak', 'ancen', 'uwakeh', 'porsine']",nyobak ancen uwakeh porsine,joy,4
DFNEagntCLV,https://www.instagram.com/p/DFNEagntCLV/,the.dekorsz,Yayuk dan lastri,25/01/2025,yayuk dan lastri,yayuk dan lastri,"['yayuk', 'dan', 'lastri']","['yayuk', 'lastri']","['yayuk', 'lastri']",yayuk lastri,netral,2
DFPv8c6PmfY,https://www.instagram.com/p/DFPv8c6PmfY/,newalvinaofficial,Sukses selalu @jtv_rek dengan program stasiun dangdut👏,25/01/2025,sukses selalu dengan program stasiun dangdut,sukses selalu dengan program stasiun dangdut,"['sukses', 'selalu', 'dengan', 'program', 'stasiun', 'dangdut']","['sukses', 'program', 'stasiun', 'dangdut']","['sukses', 'program', 'stasiun', 'dangdut']",sukses program stasiun dangdut,joy,4
DFPv8c6PmfY,https://www.instagram.com/p/DFPv8c6PmfY/,ardi.ladyvers,Min undang ghea barbie dong,26/01/2025,min undang ghea barbie dong,admin undang ghea barbie dong,"['admin', 'undang', 'ghea', 'barbie', 'dong']","['admin', 'undang', 'ghea', 'barbie']","['admin', 'undang', 'ghea', 'barbie']",admin undang ghea barbie,netral,4
DFPv8c6PmfY,https://www.instagram.com/p/DFPv8c6PmfY/,ayualvina_real,Mantap bget 🔥👏 @newalvinaofficial & @stasiun_dangdut_jtv,26/01/2025,mantap bget,mantap bget,"['mantap', 'bget']","['mantap', 'bget']","['mantap', 'bget']",mantap bget,joy,2
DFSTsMGy6BV,https://www.instagram.com/p/DFSTsMGy6BV/,xolovehenry08,Ini Rina Asnan OM Avita dulu?,28/01/2025,ini rina asnan om avita dulu,ini rina asnan om avita dulu,"['ini', 'rina', 'asnan', 'om', 'avita', 'dulu']","['rina', 'asnan', 'om', 'avita']","['rina', 'asnan', 'om', 'avita']",rina asnan om avita,netral,4
DFdHNeLzWTE,https://www.instagram.com/p/DFdHNeLzWTE/,newnarada_suroboyo,Coba ke spot curah Ombo min...disana banyak kerapu dan kakap putih,30/01/2025,coba ke spot curah ombo mindisana banyak kerapu dan kakap putih,coba ke spot curah ombo mindisana banyak kerapu dan kakap putih,"['coba', 'ke', 'spot', 'curah', 'ombo', 'mindisana', 'banyak', 'kerapu', 'dan', 'kakap', 'putih']","['coba', 'spot', 'curah', 'ombo', 'mindisana', 'kerapu', 'kakap', 'putih']","['coba', 'spot', 'curah', 'ombo', 'mindisana', 'kerapu', 'kakap', 'putih']",coba spot curah ombo mindisana kerapu kakap putih,netral,8
DFdHNeLzWTE,https://www.instagram.com/p/DFdHNeLzWTE/,ibnu_misih,Coba mancing baronang,03/02/2025,coba mancing baronang,coba mancing baronang,"['coba', 'mancing', 'baronang']","['coba', 'mancing', 'baronang']","['coba', 'mancing', 'baronang']",coba mancing baronang,netral,3
DFmjXHTP_jv,https://www.instagram.com/p/DFmjXHTP_jv/,muhammad.mahmudi,keren pak... pinisirin mau nonton,07/02/2025,keren pak pinisirin mau nonton,keren pak pinisirin mau nonton,"['keren', 'pak', 'pinisirin', 'mau', 'nonton']","['keren', 'pinisirin', 'nonton']","['keren', 'pinisirin', 'nonton']",keren pinisirin nonton,joy,3
DFxUZc9vkhZ,https://www.instagram.com/p/DFxUZc9vkhZ/,fendi_vip,Apakah tenant untuk UMKM masih ada?,08/02/2025,apakah tenant untuk umkm masih ada,apakah tenant untuk umkm masih ada,"['apakah', 'tenant', 'untuk', 'umkm', 'masih', 'ada']","['tenant', 'umkm']","['tenant', 'umkm']",tenant umkm,netral,2
DEsAgQ2P7as,https://www.instagram.com/p/DEsAgQ2P7as/,bapaksarwoto888,Siap Bunda.....👍👍,09/02/2025,siap bunda,siap bunda,"['siap', 'bunda']",['bunda'],['bunda'],bunda,netral,1
DFxUZc9vkhZ,https://www.instagram.com/p/DFxUZc9vkhZ/,me_auliasani,Syarat dan ketentuannya donk,11/02/2025,syarat dan ketentuannya donk,syarat dan ketentuannya dong,"['syarat', 'dan', 'ketentuannya', 'dong']","['syarat', 'ketentuannya']","['syarat', 'tentu']",syarat tentu,netral,2
DFxUZc9vkhZ,https://www.instagram.com/p/DFxUZc9vkhZ/,nopainaje,Syarat ketentuan min,11/02/2025,syarat ketentuan min,syarat ketentuan admin,"['syarat', 'ketentuan', 'admin']","['syarat', 'ketentuan', 'admin']","['syarat', 'tentu', 'admin']",syarat tentu admin,netral,3
DFxUZc9vkhZ,https://www.instagram.com/p/DFxUZc9vkhZ/,shovillah,Syarat dan ketentuan e opo Iki min?,14/02/2025,syarat dan ketentuan e opo iki min,syarat dan ketentuan e apa ini admin,"['syarat', 'dan', 'ketentuan', 'e', 'apa', 'ini', 'admin']","['syarat', 'ketentuan', 'e', 'admin']","['syarat', 'tentu', 'e', 'admin']",syarat tentu e admin,netral,4
DGC7C8bP6mv,https://www.instagram.com/p/DGC7C8bP6mv/,dillacuit,Bayar 50 bisa mkan sablengere gtu ta?,14/02/2025,bayar bisa mkan sablengere gtu ta,bayar bisa mkan sablengere gtu ta,"['bayar', 'bisa', 'mkan', 'sablengere', 'gtu', 'ta']","['bayar', 'mkan', 'sablengere', 'gtu', 'ta']","['bayar', 'mkan', 'sablengere', 'gtu', 'ta']",bayar mkan sablengere gtu ta,netral,5
DGC7C8bP6mv,https://www.instagram.com/p/DGC7C8bP6mv/,stuckin.yours,Endi persyaratan e min,14/02/2025,endi persyaratan e min,endi persyaratan e admin,"['endi', 'persyaratan', 'e', 'admin']","['endi', 'persyaratan', 'e', 'admin']","['endi', 'syarat', 'e', 'admin']",endi syarat e admin,netral,4
DGC7C8bP6mv,https://www.instagram.com/p/DGC7C8bP6mv/,syafrianggriawan,Jare 35 yaopo seh,14/02/2025,jare yaopo seh,jare yaopo seh,"['jare', 'yaopo', 'seh']","['jare', 'yaopo', 'seh']","['jare', 'yaopo', 'seh']",jare yaopo seh,netral,3
DGDyJ6hzYUN,https://www.instagram.com/p/DGDyJ6hzYUN/,green_matcha4,syaratnya apa min,14/02/2025,syaratnya apa min,syaratnya apa admin,"['syaratnya', 'apa', 'admin']","['syaratnya', 'admin']","['syarat', 'admin']",syarat admin,netral,2
DGDyJ6hzYUN,https://www.instagram.com/p/DGDyJ6hzYUN/,chandriathi17,KENDUREN PAKET 50/PERSON memang MANTABBB 😍,14/02/2025,kenduren paket person memang mantabbb,kenduren paket person memang mantabbb,"['kenduren', 'paket', 'person', 'memang', 'mantabbb']","['kenduren', 'paket', 'person', 'mantabbb']","['kenduren', 'paket', 'person', 'mantabbb']",kenduren paket person mantabbb,joy,4
DGDyJ6hzYUN,https://www.instagram.com/p/DGDyJ6hzYUN/,achmadtf06,50k sak wareg e emg joss KENDUREN JTV duren e ra onok sing zonk alias tidak mengecewakan pilihan e penak2🔥🔥🔥@jtv_rek @portaljtvcom,14/02/2025,k sak wareg e emg joss kenduren jtv duren e ra onok sing zonk alias tidak mengecewakan pilihan e penak,ke sak wareg e emg joss kenduren jtv duren e ra onok yang zonk alias tidak mengecewakan pilihan e penak,"['ke', 'sak', 'wareg', 'e', 'emg', 'joss', 'kenduren', 'jtv', 'duren', 'e', 'ra', 'onok', 'yang', 'zonk', 'alias', 'tidak', 'mengecewakan', 'pilihan', 'e', 'penak']","['sak', 'wareg', 'e', 'emg', 'joss', 'kenduren', 'jtv', 'duren', 'e', 'ra', 'onok', 'zonk', 'alias', 'mengecewakan', 'pilihan', 'e', 'penak']","['sak', 'wareg', 'e', 'emg', 'joss', 'kenduren', 'jtv', 'duren', 'e', 'ra', 'onok', 'zonk', 'alias', 'kecewa', 'pilih', 'e', 'penak']",sak wareg e emg joss kenduren jtv duren e ra onok zonk alias kecewa pilih e penak,joy,17
DGDyJ6hzYUN,https://www.instagram.com/p/DGDyJ6hzYUN/,nugrohoponco23,Mantaaaaaab 🥰🥰🥰🥰,14/02/2025,mantaaaaaab,mantaaaaaab,['mantaaaaaab'],['mantaaaaaab'],['mantaaaaaab'],mantaaaaaab,joy,1
DGDyJ6hzYUN,https://www.instagram.com/p/DGDyJ6hzYUN/,nuruldesign_,Min berarti 50k/peserta bawa 4 orang 200rb transaksinya melalui Livin?🙏 @jtv_rek,15/02/2025,min berarti kpeserta bawa orang rb transaksinya melalui livin,admin berarti kpeserta bawa orang rb transaksinya melalui livin,"['admin', 'berarti', 'kpeserta', 'bawa', 'orang', 'rb', 'transaksinya', 'melalui', 'livin']","['admin', 'kpeserta', 'bawa', 'orang', 'rb', 'transaksinya', 'livin']","['admin', 'kpeserta', 'bawa', 'orang', 'rb', 'transaksi', 'livin']",admin kpeserta bawa orang rb transaksi livin,netral,7
DGI_KlhyuKg,https://www.instagram.com/p/DGI_KlhyuKg/,deasyadn,Sangat gercep editornya😂,16/02/2025,sangat gercep editornya,sangat gercep editornya,"['sangat', 'gercep', 'editornya']","['gercep', 'editornya']","['gercep', 'editor']",gercep editor,joy,2
DGI_KlhyuKg,https://www.instagram.com/p/DGI_KlhyuKg/,deasyadn,Naikin gaji konten kreatornya gak!! 🫵🤣,16/02/2025,naikin gaji konten kreatornya gak,naikin gaji konten kreatornya tidak,"['naikin', 'gaji', 'konten', 'kreatornya', 'tidak']","['naikin', 'gaji', 'konten', 'kreatornya']","['naikin', 'gaji', 'konten', 'kreator']",naikin gaji konten kreator,netral,4
DGI_KlhyuKg,https://www.instagram.com/p/DGI_KlhyuKg/,aku_dimss,Acaranya seru… sayang penjual durennya banyak akalnya… #pahamkan 😂,17/02/2025,acaranya seru sayang penjual durennya banyak akalnya,acaranya seru sayang penjual durennya banyak akalnya,"['acaranya', 'seru', 'sayang', 'penjual', 'durennya', 'banyak', 'akalnya']","['acaranya', 'seru', 'sayang', 'penjual', 'durennya', 'akalnya']","['acara', 'seru', 'sayang', 'jual', 'duren', 'akal']",acara seru sayang jual duren akal,anger,6
DGM8HoWv56q,https://www.instagram.com/p/DGM8HoWv56q/,hspaliyahalmaarif,Terima kasih @jtv_rek 🙌,18/02/2025,terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']","['terima', 'kasih']",terima kasih,joy,2
DGM8HoWv56q,https://www.instagram.com/p/DGM8HoWv56q/,hspaliyahalmaarif,Tag kolaborasi juga sama akun IG kita Kak @jtv_rek 😍🙌,18/02/2025,tag kolaborasi juga sama akun ig kita kak,tag kolaborasi juga sama akun ig kita kak,"['tag', 'kolaborasi', 'juga', 'sama', 'akun', 'ig', 'kita', 'kak']","['tag', 'kolaborasi', 'akun', 'ig', 'kak']","['tag', 'kolaborasi', 'akun', 'ig', 'kak']",tag kolaborasi akun ig kak,netral,5
DGM8HoWv56q,https://www.instagram.com/p/DGM8HoWv56q/,hey.say_kamila,😍widiiww,18/02/2025,widiiww,widiiww,['widiiww'],['widiiww'],['widiiww'],widiiww,joy,1
DGP-pw6Phgi,https://www.instagram.com/p/DGP-pw6Phgi/,fhanzkaa,DHEWAAA😍😍🔥🔥🔥,19/02/2025,dhewaaa,dhewaaa,['dhewaaa'],['dhewaaa'],['dhewaaa'],dhewaaa,joy,1
DGP-pw6Phgi,https://www.instagram.com/p/DGP-pw6Phgi/,smasunggulanbpptalfattah,Terima kasih atas kesempatan yang diberikan kepada kami untuk berkunjung di JTV. Begitu banyak manfaat yang dapat kami ambil dan tentunya sangat menyenangkan 🤩,19/02/2025,terima kasih atas kesempatan yang diberikan kepada kami untuk berkunjung di jtv begitu banyak manfaat yang dapat kami ambil dan tentunya sangat menyenangkan,terima kasih atas kesempatan yang diberikan kepada kami untuk berkunjung di jtv begitu banyak manfaat yang dapat kami ambil dan tentunya sangat menyenangkan,"['terima', 'kasih', 'atas', 'kesempatan', 'yang', 'diberikan', 'kepada', 'kami', 'untuk', 'berkunjung', 'di', 'jtv', 'begitu', 'banyak', 'manfaat', 'yang', 'dapat', 'kami', 'ambil', 'dan', 'tentunya', 'sangat', 'menyenangkan']","['terima', 'kasih', 'kesempatan', 'berkunjung', 'jtv', 'manfaat', 'ambil', 'menyenangkan']","['terima', 'kasih', 'sempat', 'kunjung', 'jtv', 'manfaat', 'ambil', 'senang']",terima kasih sempat kunjung jtv manfaat ambil senang,joy,8
DGP-pw6Phgi,https://www.instagram.com/p/DGP-pw6Phgi/,fiszz_2008,Keren kali lah,19/02/2025,keren kali lah,keren kali lah,"['keren', 'kali', 'lah']","['keren', 'kali']","['keren', 'kali']",keren kali,joy,2
DGP-pw6Phgi,https://www.instagram.com/p/DGP-pw6Phgi/,adel.ia1979,Keren sekali anak2 ku... 😍,19/02/2025,keren sekali anak ku,keren sekali anak ku,"['keren', 'sekali', 'anak', 'ku']","['keren', 'anak', 'ku']","['keren', 'anak', 'ku']",keren anak ku,joy,3
DGP-pw6Phgi,https://www.instagram.com/p/DGP-pw6Phgi/,nur.hakim.5811,TV UNGGULAN....? Go Head 🔥🔥,20/02/2025,tv unggulan go head,tv unggulan go head,"['tv', 'unggulan', 'go', 'head']","['tv', 'unggulan', 'go', 'head']","['tv', 'unggul', 'go', 'head']",tv unggul go head,joy,4
DGXoWTIP1uM,https://www.instagram.com/p/DGXoWTIP1uM/,newnarada_suroboyo,Bos aku melok oleh ta? Ngkok tak ceritani aku kecebur Nang  kali Londo mangrove Wonorejo pas mancing 😂,22/02/2025,bos aku melok oleh ta ngkok tak ceritani aku kecebur nang kali londo mangrove wonorejo pas mancing,bos saya melok oleh ta ngkok tidak ceritani saya kecebur nang kali londo mangrove wonorejo pas mancing,"['bos', 'saya', 'melok', 'oleh', 'ta', 'ngkok', 'tidak', 'ceritani', 'saya', 'kecebur', 'nang', 'kali', 'londo', 'mangrove', 'wonorejo', 'pas', 'mancing']","['bos', 'melok', 'ta', 'ngkok', 'ceritani', 'kecebur', 'nang', 'kali', 'londo', 'mangrove', 'wonorejo', 'pas', 'mancing']","['bos', 'lok', 'ta', 'ngkok', 'ceritani', 'cebur', 'nang', 'kali', 'londo', 'mangrove', 'wonorejo', 'pas', 'mancing']",bos lok ta ngkok ceritani cebur nang kali londo mangrove wonorejo pas mancing,joy,13
DGXtMv1P4AG,https://www.instagram.com/p/DGXtMv1P4AG/,septaputra_dayanta,Terima kasih JTV 100% JawaTimur❤️❤️,23/02/2025,terima kasih jtv jawatimur,terima kasih jtv jawatimur,"['terima', 'kasih', 'jtv', 'jawatimur']","['terima', 'kasih', 'jtv', 'jawatimur']","['terima', 'kasih', 'jtv', 'jawatimur']",terima kasih jtv jawatimur,joy,4
DGgK2RvzBFj,https://www.instagram.com/p/DGgK2RvzBFj/,hudiahmad8,Waduh.. teganya,25/02/2025,waduh teganya,waduh teganya,"['waduh', 'teganya']",['teganya'],['tega'],tega,anger,1
DGdCt2rP-qX,https://www.instagram.com/p/DGdCt2rP-qX/,tuan_dito,Mbok Yo bupati dan wakil bupati turun langsung ke bawah Kotabaru Driyorejo Gresik air PDAM mati total sudah dua hari rakyat dipaksa bayar rutin tiap bulan 😢,26/02/2025,mbok yo bupati dan wakil bupati turun langsung ke bawah kotabaru driyorejo gresik air pdam mati total sudah dua hari rakyat dipaksa bayar rutin tiap bulan,mbok yo bupati dan wakil bupati turun langsung ke bawah kotabaru driyorejo gresik air pdam mati total sudah dua hari rakyat dipaksa bayar rutin tiap bulan,"['mbok', 'yo', 'bupati', 'dan', 'wakil', 'bupati', 'turun', 'langsung', 'ke', 'bawah', 'kotabaru', 'driyorejo', 'gresik', 'air', 'pdam', 'mati', 'total', 'sudah', 'dua', 'hari', 'rakyat', 'dipaksa', 'bayar', 'rutin', 'tiap', 'bulan']","['mbok', 'yo', 'bupati', 'wakil', 'bupati', 'turun', 'langsung', 'kotabaru', 'driyorejo', 'gresik', 'air', 'pdam', 'mati', 'total', 'rakyat', 'dipaksa', 'bayar', 'rutin']","['mbok', 'yo', 'bupati', 'wakil', 'bupati', 'turun', 'langsung', 'kotabaru', 'driyorejo', 'gresik', 'air', 'pdam', 'mati', 'total', 'rakyat', 'paksa', 'bayar', 'rutin']",mbok yo bupati wakil bupati turun langsung kotabaru driyorejo gresik air pdam mati total rakyat paksa bayar rutin,anger,18
